10;weiblich;deutsch;hellgrün;grün macht glücklich;pink;gold;silber;;;rot;weihnachten;pastelllila;False;;nicht sehr gemütlich;hellgrün;hellgrün;;False;;6;;;;;;rot;False
10;männlich;deutsch;grün;hell;schwarz;gold;;weiß;;schwarz;feuer;grau;False;;natürlich;meiner;rot;krieg;True;lgbtq;8;blau;violett;braun;grau;schwarz;rot;True
10;weiblich;deutsch;grün;kleeblatt;grau;nordpoolblau;;gold;lederfarben;silber;wütend;grün;True;ich war 8;schön;blau;orange;liebe;True;farben des regenbogens;2;silber;gold;gelb;blau;grün;hellblau;True
10;männlich;evangelisch;grün;kleeblatt;weiß;rot;weiß;rot;;schwarz;ferrari;grün;True;fussballplatz;normal;weiß;grün;krieg;False;;1;grau;schwarz;braun;rot;blau;grün;True
10;männlich;moslem;grün;;schwarz;grün;gelb;grün;gelb;dunkelgrün;;weiß;False;;;weiß;grün;krieg;False;;2;;;;;;gelb;False
10;männlich;fast alles;grün;wiese;braun;gold;;blau;;blau;liebe;weiß;False;;;weiß;blau;krieg;False;;5;hellblau;blau;weiß;schwarz;grau;blau;True
10;weiblich;deutsch;grün;kleeblatt;schwarz;gold;hellblau;hellrosa;lapislazuli;pastellblau;herz;weiß;False;;geordnet;weiß;hellrosa;liebe;True;farbenvielfältigkeit;3;indigo;pink;weiß;braun;gelb;hellblau;False
10;männlich;europäisch;grün;kleeblatt;blau;weiß;;rot;;gelb;nichts;weiß;False;;aufgewühlt;hellblau;hellblau;liebe;False;;1;grau;rot;weiß;schwarz;gelb;hellblau;True
10;weiblich;türkisch;gelb;glücklich;schwarz;;;blau;;schwarz;böse;weiß;False;;geordnet;weiß;blau;liebe;True;ltbtq;3;schwarz;weiß;schwarz;schwarz;schwarz;gelb;True
10;männlich;europäisch;grün;kleeblatt;schwarz;schwarz;;blau;;gold;;weiß;False;;gut;hellblau;hellblau;liebe;False;;1;grau;hellblau;grün;schwarz;gelb;hellblau;True
10;weiblich;deutsch;grün;kleeblatt;schwarz;weiß;schwarz;rot;schwarz;grau;albanienflagge;weiß;;;beleuchtet;weiß;weiß;liebe;True;prideday;5;gelb;schwarz;blau;schwarz;blau;weiß;teilweise
10;weiblich;deutsch;grün;kleeblatt;blau;blau;;;;blau;;blau;True;ich mag die farbe;gemütlich;blau;blau;liebe;False;;;gelb;schwarz;blau;schwarz;blau;blau;teilweise
